"","ID","RegistrationNumber","BusinessTitle","IdLegislativePeriod","IdSession","Subject","SessionName"
"806",17528,13788,"Haltemöglichkeiten für die Neat-Züge in Biasca, damit die Region Tre Valli nicht den Anschluss verpasst",50,5005,NA,"Herbstsession 2016"
"807",17529,13789,"Bundesgesetz über die Fischerei. Die Verwendung von Widerhaken in Fliessgewässern zulassen",50,5005,NA,"Herbstsession 2016"
"808",17531,13791,"Die Post. Postsendungen sollen allen zugestellt werden!",50,5005,"Die Abstimmung gilt auch fü die Motion Maire 14.4091","Herbstsession 2016"
"809",17533,13793,"Die Schweiz muss ihre Kinder anerkennen",50,5005,"Art. 24a Abs. 1 Bst. a","Herbstsession 2016"
"810",17534,13794,"Die Schweiz muss ihre Kinder anerkennen",50,5005,"Art. 24a Abs. 1bis","Herbstsession 2016"
"811",17535,13795,"Revisionsaufsichtsgesetz. Änderung",50,5005,"Gesamtabstimmung","Herbstsession 2016"
"812",17536,13796,"Publikation von Erwachsenenschutzmassnahmen",50,5005,"Art. 451 Abs. 2 ZGB","Herbstsession 2016"
"813",17537,13797,"Publikation von Erwachsenenschutzmassnahmen",50,5005,"Art. 8a Abs. 3bis SchKG","Herbstsession 2016"
"814",17538,13798,"Publikation von Erwachsenenschutzmassnahmen",50,5005,"Gesamtabstimmung","Herbstsession 2016"
"815",17540,13800,"Umweltschutzprotokoll zum Antarktis-Vertrag und Anlagen I bis V zum Protokoll. Genehmigung",50,5005,"Gesamtabstimmung","Herbstsession 2016"
"816",17541,13801,"Umsetzung der Uno-Agenda 2030. Institutionelle Vorkehrungen",50,5005,NA,"Herbstsession 2016"
